k1,k2,k3,k4
0.0077687,0.37376,-0.10358,0.10962
0.0082003,0.57963,-0.080708,0.10962
0.0082003,0.84765,0.043591,0.10962
0.0082003,1.2283,0.028917,0.10962
0.0077687,1.177,0.10833,0.11049
0.0077687,0.92361,0.14199,0.11049
0.0077687,0.88218,0.064739,0.11049
0.0073371,0.89771,0.022443,0.10962
0.0073371,1.1411,-0.031506,0.10962
0.0073371,1.208,-0.0012948,0.10962
0.0069055,1.1407,0.1394,0.10919
0.0069055,1.309,0.094087,0.10962
0.0069055,1.3159,0.011653,0.11092
0.0069055,0.92792,-0.0082003,0.11092
0.0069055,0.72033,-0.1066,0.11006
0.0069055,0.79543,-0.10876,0.11006
0.0069055,1.1839,-0.091929,0.11049
0.0069055,1.7091,-0.10876,0.11092
0.0073371,1.934,0.010358,0.11092
0.0069055,1.8766,-0.002158,0.11092
0.0069055,1.4963,-0.018127,0.11049
0.0064739,0.96159,0.098403,0.11049
0.0069055,0.86448,0.1161,0.11092
0.0047475,0.93785,-0.10186,0.11092
0.0025896,0.9167,-0.0060423,0.11092
0.0056107,1.0151,0.085887,0.11092
0.0056107,0.91929,0,0.11092
0.0060423,0.35693,0.060855,0.11135
0.0060423,-0.27536,0.038412,0.11135
0.0060423,-0.53474,0.068192,0.11135
0.0060423,-0.40181,0.091929,0.11135
0.0060423,-0.032801,0.037549,0.11135
0.0056107,0.17005,-0.009495,0.11092
0.0051791,0.21709,0.024601,0.11178
0.0051791,0.27665,0.064307,0.11049
0.0056107,0.059991,0.012085,0.11221
0.0060423,-0.1912,-0.0043159,0.11351
0.0060423,-0.12257,-0.041001,0.10919
0.0056107,0.34484,-0.050065,0.11998
0.0056107,0.81485,-0.026327,0.095814
0.0051791,0.80363,-0.066897,0.1476
0.0051791,0.30211,-0.081571,-0.29737
0.0034527,-0.25162,0.078118,-0.54553
0.0034527,-0.43979,0.13466,-0.47303
0.0043159,-0.55071,-0.036685,-0.51316
0.0038843,-0.86664,-0.0060423,-0.48899
0.0038843,-1.057,-0.018127,-0.50324
0.0038843,-0.95037,-0.044022,-0.49461
0.0038843,-0.91627,-0.055244,-0.49892
0.0038843,-0.94562,-0.075097,-0.49633
0.0038843,-0.70091,-0.013811,-0.49719
0.0043159,-0.42037,0.054812,-0.49676
0.0043159,-0.38239,-0.038843,-0.49633
0.0043159,-0.39491,-0.10186,-0.49633
0.0051791,-0.18515,0.032801,-0.4959
0.0051791,0.050496,-0.043159,-0.49547
0.0056107,0.15106,-0.049202,-0.49547
0.0060423,0.10142,0.0099266,-0.49547
0.0064739,0.03798,0.063876,-0.49504
0.0064739,-0.079845,0.052223,-0.49461
0.0064739,-0.11351,0.14027,-0.49461
0.0064739,0.053949,0.10358,-0.49417
0.0064739,-0.10833,-0.076823,-0.49417
0.0064739,-0.39275,-0.086319,-0.49417
0.0064739,-0.50626,0.015969,-0.49374
0.0069055,-0.33448,0.066034,-0.49331
0.0069055,-0.21839,0.0034527,-0.49374
0.0069055,-0.1148,-0.036254,-0.49288
0.0073371,0.13811,0.04877,-0.49374
0.0073371,0.34398,0.012948,-0.49288
0.0073371,0.68278,-0.073802,-0.49245
0.0073371,0.80967,-0.019853,-0.49417
0.0077687,0.77514,-0.052223,-0.48813
0.0082003,0.74018,-0.02978,-0.50108
0.0073371,0.79025,-0.0069055,-0.47389
0.0056107,0.99094,0.0099266,-0.53172
0.0073371,0.94217,-0.0012948,-0.11567
0.0073371,0.68019,0.052654,0.15019
0.0073371,0.43073,0.061286,0.078981
0.0069055,0.2555,0.034527,0.11955
0.0069055,0.15408,0.04877,0.09754
0.0077687,-0.12948,0.0099266,0.11308
0.0077687,-0.49763,-0.024169,0.10617
0.0077687,-0.75615,0.0012948,0.11049
0.0073371,-0.56841,-0.015969,0.10919
0.0073371,-0.20716,-0.046612,0.11049
0.0069055,0.17523,-0.084161,0.11092
0.0064739,0.429,-0.095382,0.11049
0.0060423,0.67501,-0.0090634,0.11092
0.0060423,0.77514,0.050065,0.11092
0.0056107,0.57704,0.0073371,0.11092
0.0051791,0.27277,0.029348,0.11135
0.0056107,0.066465,0.079845,0.11135
0.0051791,0.31808,0.04877,0.11178
0.0051791,0.60682,0.0077687,0.11178
0.0047475,0.47777,0.018558,0.11178
0.0051791,0.16271,0.085887,0.11178
0.0051791,-0.41649,0.030643,0.11135
0.0056107,-1.0112,0.011653,0.11092
0.0056107,-1.1467,0.088476,0.11092
0.0056107,-0.87397,0.062149,0.11135
0.0056107,-0.44842,-0.031506,0.11135
0.0047475,-0.30902,-0.062149,0.11092
0.0060423,-0.2486,0.0012948,0.11092
0.0051791,-0.27751,-0.010358,0.11092
0.0043159,-0.38196,-0.10617,0.11178
0.0038843,-0.31075,-0.063444,0.11178
0.0025896,-0.093224,-0.0017264,0.11178
0.002158,0.32542,-0.030643,0.11135
0.0017264,0.77255,0.041001,0.11092
0.0012948,0.6202,0.042728,0.11092
0.0017264,-0.052654,0.042728,0.11178
0.002158,-0.78981,-0.018127,0.11178
0.002158,-1.1489,-0.07035,0.11135
0.0030211,-1.1325,-0.036254,0.11135
0.0038843,-1.0617,-0.0099266,0.11135
0.0038843,-1.0747,0.021148,0.11135
0.0038843,-1.1252,0.085887,0.11135
0.0034527,-0.9249,-0.028054,0.11135
0.0025896,-0.79758,-0.012085,0.11178
0.0030211,-0.61977,0.017264,0.11178
0.002158,-0.5382,-0.2063,0.11135
0.002158,-0.7855,-0.2063,0.11092
0.002158,-0.88261,0.053949,0.11135
0.002158,-0.55373,0.075097,0.11135
0.0017264,-0.32585,0.034959,0.11135
-0.002158,-0.45792,0.10488,0.11092
0,-0.60552,0.074234,0.11092
0.002158,-0.47777,0.029348,0.11135
0.002158,-0.37721,0.013379,0.11178
0.0025896,-0.38541,-0.050065,0.11221
0.0025896,-0.70479,-0.10013,0.11265
0.0025896,-1.2188,0.012948,0.11221
0.0017264,-1.2098,0.10315,0.11135
0.0017264,-0.60596,0.058697,0.11135
0.0012948,-0.053086,0.015106,0.11178
0.00043159,0.14674,-0.034959,0.11178
0,0.35391,-0.012948,0.11135
0,0.50151,0.029348,0.11135
-0.00043159,0.19681,-0.025464,0.11178
-0.0012948,-0.22961,0.024169,0.11178
-0.0030211,-0.64653,0.017264,0.11221
-0.0030211,-0.91239,0.019853,0.11221
-0.002158,-0.58351,0.037549,0.11265
-0.0025896,-0.30298,-0.009495,0.11221
-0.00043159,-0.099266,-0.030211,0.11178
0,-0.2227,-0.063013,0.11135
0,-0.025464,-0.06517,0.11135
-0.00086319,-0.091066,0.082003,0.11135
0,-0.072508,0.1325,0.11178
0.00043159,-0.26802,-0.013379,0.11221
0,-0.45619,0.034959,0.11221
0,-0.37031,0.017264,0.11135
-0.00086319,-0.21148,-0.10617,0.11135
-0.00043159,-0.13293,-0.10401,0.11178
-0.00043159,0.21925,-0.073371,0.11178
0,0.65343,0.050928,0.11178
0,0.69659,0.065602,0.11092
0.00043159,0.43289,0.043591,0.11092
0.00086319,-0.31334,0.12991,0.11135
0,-0.92965,0.06517,0.11135
0,-1.3906,-0.025896,0.11135
0,-1.4955,-0.039275,0.11135
-0.00043159,-1.1191,-0.013811,0.11135
-0.002158,-0.26888,-0.036685,0.11135
-0.0025896,0.15192,-0.0064739,0.11135
-0.0030211,0.20457,0.04877,0.11135
-0.0034527,0.24299,-0.010358,0.11092
-0.0030211,0.27622,-0.0038843,0.11092
-0.0025896,0.19249,0.059128,0.11092
-0.0025896,0.18343,-0.15322,0.11092
-0.0017264,0.15753,-0.0017264,0.11092
-0.0012948,0.23694,0.071644,0.11092
-0.00086319,0.64609,-0.0030211,0.11092
0.00043159,0.63056,0.095814,0.11178
0.00086319,0.14156,0.085455,0.11135
0.0012948,-0.27665,-0.014243,0.11092
0,-0.47087,-0.023738,0.11135
0.00086319,-0.65473,-0.051791,0.11178
0.002158,-0.77385,-0.12905,0.11178
0.0017264,-0.81528,-0.029348,0.11092
0.00086319,-0.92274,-0.04618,0.11092
0,-0.25507,0.025896,0.11092
-0.00043159,0.64912,0.1161,0.11135
-0.00086319,0.73457,-0.013379,0.11178
-0.0012948,0.010358,-0.054381,0.11178
-0.0017264,-0.56409,0.068192,0.11135
-0.0012948,-0.77687,0.041433,0.11135
-0.00086319,-0.69357,-0.033664,0.11178
0,-0.48986,-0.093656,0.11178
0,-0.20026,-0.070781,0.11135
0,0.45576,0.00043159,0.11092
0,0.91066,0.11955,0.11092
0.0012948,0.81398,0.0069055,0.11092
0.0012948,0.016832,-0.054381,0.11092
0.0017264,-0.39491,0.064307,0.11092
0.0025896,-0.16055,0.017695,0.11092
0.0017264,0.33276,-0.090634,0.11135
0.00086319,0.46267,-0.11006,0.11135
0,0.88606,-0.011221,0.11092
-0.00043159,1.6504,0.26198,0.11092
-0.0012948,1.8994,0.10962,0.11092
-0.0017264,1.3177,-0.11524,0.11092
-0.0017264,0.54942,-0.058265,0.11092
-0.0017264,0.11221,0.14502,0.11049
-0.0012948,-0.32715,0.14588,0.11006
-0.00043159,-0.51791,-0.11308,0.11006
0.00043159,-0.1981,0.0077687,0.11049
0.00043159,0.71946,0.19292,0.11092
0.00043159,1.3418,0.07596,0.11092
0,1.098,-0.13984,0.11049
0.00086319,0.4467,-0.091929,0.11049
0.00086319,0.09495,-0.022874,0.11049
0.00086319,-0.38196,-0.024601,0.11092
0.0012948,-0.32974,0.039275,0.11092
0.0012948,-0.1312,-0.1066,0.11049
0.00086319,0.30211,-0.057402,0.11006
0,0.62279,0.015969,0.10962
0,0.59776,0.0051791,0.11006
0.00043159,0.20803,0.10876,0.11092
0.00086319,0.20803,0.077255,0.11092
0.00043159,0.63876,-0.085024,0.11092
0.00043159,0.82736,-0.16573,0.11092
0.00086319,0.51618,-0.16055,0.11092
0.00086319,-0.085455,0.020716,0.11049
0.0012948,-0.35909,0.17134,0.11049
0.0012948,-0.50583,0.13423,0.11092
0.0012948,-0.75701,0.031506,0.11092
-0.00086319,-0.90937,0.05697,0.11049
-0.0030211,-0.7842,0.012085,0.10962
0.00086319,-0.64394,-0.028485,0.11049
0.0012948,-0.59776,0.04057,0.11092
0.002158,-0.75701,0.05956,0.11135
0.002158,-1.1243,0.0051791,0.11135
0.002158,-1.3893,0.0056107,0.11092
0.0017264,-1.1843,-0.032369,0.11092
0.00086319,-0.87095,-0.13595,0.11092
0.0012948,-0.66724,-0.031506,0.11092
0.0017264,-0.3047,-0.028485,0.11092
0.0012948,0.22313,-0.071213,0.11092
0.0012948,0.48382,-0.064307,0.11006
0.0012948,0.34657,-0.00086319,0.11006
0.0017264,0.27751,0.025032,0.11092
0.0017264,0.2063,0.10574,0.11135
0.002158,-0.082434,0.063876,0.11135
0.0012948,-0.43332,0.10099,0.11135
0.0017264,-1.0337,0.061286,0.11135
0.0025896,-1.634,-0.02978,0.11178
0.0025896,-1.8774,-0.067328,0.11178
0.0034527,-1.5473,-0.0082003,0.11178
0.0038843,-0.96073,0.0025896,0.11178
0.0043159,-0.44929,-0.041001,0.11221
0.0043159,-0.2568,-0.043591,0.11221
0.0047475,-0.34527,0.041864,0.11178
0.0051791,-0.22011,-0.068623,0.11221
0.0060423,0.016401,-0.16487,0.11265
0.0060423,0.15624,-0.073371,0.11265
0.0051791,0.40224,-0.044454,0.11265
0.0064739,0.53863,-0.015106,0.11265
0.0064739,0.53302,0.18861,0.11221
0.0064739,0.61372,0.12732,0.11221
0.0069055,0.58826,-0.0012948,0.11265
0.0069055,0.12214,0.020716,0.11265
0.0082003,-0.017695,0.12387,0.11221
0.0090634,-0.034959,0.07596,0.11221
0.009495,-0.33146,-0.072939,0.11221
0.0099266,-0.59085,-0.11092,0.11265
0.009495,-0.42512,0.0077687,0.11308
0.0090634,0.29262,0.036685,0.11308
0.0086319,1.2305,-0.072076,0.11308
0.0086319,1.6944,-0.21493,0.11265
0.0073371,1.5809,-0.12257,0.11221
0.0073371,1.6987,-0.029348,0.11265
0.0069055,1.9534,0.098403,0.11265
0.0069055,1.9715,0.08934,0.11265
0.0073371,1.7147,0.061718,0.11308
0.0082003,1.2581,0.25032,0.11308
0.0086319,1.1847,0.20112,0.11265
0.0090634,1.1433,-0.012948,0.11265
0.0082003,1.2026,0.018558,0.11308
0.0073371,1.1204,0.0043159,0.11308
0.009495,0.97799,-0.025896,0.11351
0.009495,0.2145,0.022011,0.11308
0.009495,-0.16746,-0.069055,0.11265
0.009495,0.16875,-0.011653,0.11265
0.009495,0.28269,0.053086,0.11308
0.009495,0.39879,-0.25205,0.11308
0.0099266,0.96936,-0.11567,0.11351
0.010358,1.4981,0.12214,0.11351
0.01079,1.4355,-0.123,0.11351
0.01079,0.86189,-0.049202,0.11394
0.01079,0.5136,0.066034,0.11394
0.01079,0.15537,-0.04618,0.11394
0.01079,-0.046612,0.079413,0.11351
0.01079,0.4372,0.20803,0.11351
0.01079,0.8429,-0.052223,0.11351
0.011653,0.25939,0.1476,0.11394
0.011221,-0.46008,0.20803,0.11308
0.011221,-0.42037,0.018558,0.11524
0.01079,-0.42123,-0.0064739,0.11006
0.011653,-0.4631,-0.017264,0.11869
0.01079,-0.052654,-0.18558,0.10574
0.010358,0.27967,-0.043159,0.12516
0.011653,-0.07596,0.071213,0.096245
0.010358,-0.44066,-0.074666,0.14329
0.009495,-0.51791,-0.028054,0.013811
0.0082003,0.016832,-0.065602,-0.48943
0.0077687,1.0518,-0.11826,-0.50065
0.0077687,1.6461,-0.11437,-0.49504
0.0073371,1.2978,0.034959,-0.50194
0.0069055,0.59948,0.098403,-0.49461
0.0069055,-0.17264,0.17868,-0.50065
0.0069055,-0.89901,0.12085,-0.49547
0.0064739,-0.92749,0.06776,-0.49849
0.0064739,-0.65386,0.072939,-0.49633
0.0064739,-0.46655,-0.05956,-0.49763
0.0064739,-0.50022,-0.072076,-0.49676
0.0064739,-0.59085,0.034959,-0.49633
0.0064739,-0.52525,-0.0069055,-0.49633
0.0069055,-0.52395,-0.11567,-0.4959
0.0069055,-0.5041,-0.060423,-0.4959
0.0064739,-0.18558,-0.063876,-0.49547
0.0069055,0.16185,-0.11826,-0.49504
0.0069055,0.16962,0.034959,-0.49504
0.0064739,-0.0064739,-0.073371,-0.49504
0.0069055,-0.06517,-0.10358,-0.49461
0.0069055,0.12905,0.093224,-0.49417
0.0069055,0.58438,0.10617,-0.49417
0.0073371,0.80535,-0.061718,-0.49417
0.0069055,0.72335,0.029348,-0.49374
0.0060423,0.4044,0.10833,-0.49417
0.0025896,0.30211,0.096677,-0.49374
0.0047475,0.20457,0.046612,-0.49374
0.0069055,-0.14674,0.069918,-0.49374
0.0064739,-0.24385,0.041433,-0.49115
0.0064739,0.38973,-0.0060423,-0.49633
0.0056107,0.82521,-0.088045,-0.48511
0.0051791,0.68105,-0.085887,-0.50539
0.0051791,0.52266,0.0073371,-0.46785
0.0047475,0.50626,0.029348,-0.54208
0.0047475,0.67415,0.075097,-0.19076
0.0047475,0.55158,0.01899,0.15365
0.0047475,0.33923,-0.1653,0.080708
0.0047475,0.6789,-0.13509,0.12041
0.0047475,1.3483,0.038412,0.10099
0.0051791,1.7117,0.038412,0.11351
0.0051791,1.5723,0.030211,0.10876
0.0047475,0.92965,0.028054,0.11178
0.0047475,0.19637,0.088908,0.11135
0.0034527,-0.39059,0.078981,0.11221
0.0034527,-0.78334,0.10876,0.11308
0.0047475,-0.76349,0.002158,0.11265
0.0047475,-0.55848,-0.082434,0.11265
0.0051791,-0.52784,0.025896,0.11265
0.0051791,-0.57833,0.063013,0.11308
0.0051791,-0.92663,-0.0030211,0.11308
0.0051791,-1.5714,-0.048338,0.11351
0.0056107,-1.9754,-0.11524,0.11351
0.0056107,-1.8213,-0.049633,0.11394
0.0047475,-0.80837,-0.017264,0.11394
0.0047475,0.33362,-0.19983,0.11351
0.0047475,0.71558,-0.1571,0.11351
0.0047475,0.5464,0.069486,0.11394
0.0047475,0.30557,0.15753,0.11394
0.0047475,-0.090203,0.090203,0.11394
0.0047475,-0.54769,-0.040138,0.11351
0.0043159,-0.72896,0.043591,0.11351
0.0043159,-1.0479,0.060855,0.11351
0.0043159,-1.1679,0.05697,0.11394
0.0043159,-1.3064,0.066465,0.11437
0.0043159,-1.6383,0.036685,0.11394
0.0043159,-1.8239,0.066034,0.11394
0.0038843,-1.6392,-0.0025896,0.11351
0.0038843,-1.2283,-0.096677,0.11351
0.0043159,-0.98489,-0.12603,0.11394
0.0043159,-0.87527,-0.10186,0.11394
0.0043159,-0.78248,-0.078981,0.11351
0.0043159,-0.58912,-0.0051791,0.11351
0.0038843,-0.22874,0.02158,0.11351
0.0043159,0.22184,0.036254,0.11351
0.0043159,0.49461,0.0099266,0.11437
0.0043159,0.54424,0.025896,0.11437
0.002158,0.63746,0.053949,0.11437
0.0030211,0.59517,0.002158,0.1148
0.0034527,0.22011,-0.036254,0.11437
0.0025896,-0.27147,0.062581,0.11394
0.0025896,-0.27751,0.14804,0.11351
0.002158,-0.19249,0.014674,0.11351
0.002158,-0.12387,-0.064739,0.11437
0.002158,-0.1407,0.00043159,0.11394
0.002158,-0.19681,-0.038412,0.11351
0.002158,-0.21105,-0.054381,0.11351
0.002158,-0.23694,-0.062149,0.11394
0.0012948,-0.043591,0.0090634,0.11437
0.00086319,0.25507,0.040138,0.11437
0.0012948,0.49331,0.0099266,0.11394
0.00086319,0.49029,0.0090634,0.11394
0.00043159,0.54467,0.026327,0.11394
0.00043159,0.39059,-0.016832,0.11351
0.00086319,-0.077687,0.065602,0.11351
0.002158,-0.42037,0.061718,0.11308
0.0017264,-0.19767,0.12559,0.11265
0.0017264,0.21364,0.049633,0.11265
0.0017264,0.45662,-0.14372,0.11308
0.0017264,0.43634,-0.033664,0.11351
0.002158,0.16357,0.069486,0.11351
0.002158,-0.22313,-0.072939,0.11265
0.0025896,0.009495,-0.097108,0.11265
0.0025896,-0.038843,0.05697,0.11265
0.0012948,-0.53604,-0.083297,0.11265
0.0012948,-0.65818,-0.10747,0.11265
0.0017264,-0.38412,0.094087,0.11308
0.00043159,-0.02978,0.15019,0.11308
0,0.21278,0.0090634,0.11221
0,0.082866,0.042296,0.11221
0,-0.50324,-0.18429,0.11265
0,-0.64135,-0.19335,0.11308
0,-0.34268,0.10531,0.11351
0,-0.016832,0.11092,0.11351
0,-0.30168,0.08934,0.11308
-0.00043159,-0.68019,0.11135,0.11265
-0.00086319,-0.86923,-0.086319,0.11221
-0.00086319,-0.59301,-0.00086319,0.11308
-0.00086319,0.071213,0.066465,0.11351
-0.00086319,-0.40527,-0.068192,0.11265
-0.0012948,-0.77859,0.04618,0.11265
-0.0017264,-0.53172,0.072508,0.11265
-0.002158,-0.2801,-0.036254,0.11308
-0.002158,-0.32326,-0.025464,0.11351
-0.0030211,-0.17264,0.053949,0.11351
-0.0030211,-0.041001,-0.10186,0.11351
-0.0034527,0.037549,-0.025464,0.11308
-0.0025896,0.093656,0.095382,0.11351
-0.0056107,-0.47259,0.014674,0.11265
-0.0073371,-0.9823,-0.055675,0.11308
-0.0043159,-1.0449,-0.066465,0.11308
-0.0047475,-0.23306,-0.063444,0.11308
-0.0038843,0.093224,0.07596,0.11308
-0.0030211,-0.39232,0.14027,0.11308
-0.0025896,-0.73241,-0.052654,0.11308
-0.0030211,-0.69098,-0.13897,0.11308
-0.0025896,-0.67458,-0.021148,0.11308
-0.0025896,-0.25593,0.01079,0.11351
-0.0030211,-0.051791,-0.036685,0.11308
-0.0025896,0.11221,-0.041864,0.11265
